央视,#genre#
快乐垂钓,http://114.254.209.157:8888/rtp/239.3.1.164:8001#http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638729b6002c4/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSBx06ZL9Bo6JOM%2BSTjxZRJiJ8tFyWVQ4LIMJg%2BXyuQCUUYb4If0LygirGPvYsbTi60DjU3KKPbFtbFrR1EGj%2FI
CCTV-4 中文国际 欧洲HD,http://114.254.209.157:8888/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲HD,http://114.254.209.157:8888/rtp/239.3.1.214:4220
CGTN 新闻HD,http://114.254.209.157:8888/rtp/239.3.1.215:4220
CGTN 记录HD,http://114.254.209.157:8888/rtp/239.3.1.216:4220
CGTN 西班牙语HD,http://114.254.209.157:8888/rtp/239.3.1.217:4220
CGTN 法语HD,http://114.254.209.157:8888/rtp/239.3.1.218:4220
CGTN 阿拉伯语HD,http://114.254.209.157:8888/rtp/239.3.1.219:4220
CGTN 俄语HD,http://114.254.209.157:8888/rtp/239.3.1.220:4220
第一剧场高清,http://110.248.147.20:8888/rtp/239.253.93.138:6428
风云剧场高清,http://110.248.147.20:8888/rtp/239.253.93.251:6429
怀旧剧场高清,http://110.248.147.20:8888/rtp/239.253.93.252:6430
风云音乐高清,http://110.248.147.20:8888/rtp/239.253.93.253:6431
风云足球高清,http://110.248.147.20:8888/rtp/239.253.93.254:6432
高尔夫网球高清,http://110.248.147.20:8888/rtp/239.253.93.122:6465
武术世界高清,http://110.248.147.20:8888/rtp/239.253.93.46:6434
兵器科技高清,http://110.248.147.20:8888/rtp/239.253.93.47:6435
世界地理高清,http://110.248.147.20:8888/rtp/239.253.92.131:6113
文物宝库高清,http://110.248.147.20:8888/rtp/239.253.93.180:6437
女性时尚高清,http://110.248.147.20:8888/rtp/239.253.92.144:6114
文化精品高清,http://110.248.147.20:8888/rtp/239.253.93.175:6439

卫视,#genre#
东方卫视,http://61.173.95.181:4022/udp/239.45.3.146:5140#http://101.83.74.79:8686/udp/239.45.3.146:5140#http://114.254.209.157:8888/rtp/239.3.1.136:8032#http://123.116.202.123:4022/rtp/239.3.1.136:8032
浙江卫视,http://61.173.95.181:4022/udp/239.45.3.178:5140#http://101.83.74.79:8686/udp/239.45.3.178:5140#http://114.254.209.157:8888/rtp/239.3.1.137:8036#http://123.116.202.123:4022/rtp/239.3.1.137:8036#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226342/index.m3u8#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
江苏卫视,http://61.173.95.181:4022/udp/239.45.3.177:5140#http://101.83.74.79:8686/udp/239.45.3.177:5140#http://114.254.209.157:8888/rtp/239.3.1.135:8028#http://123.116.202.123:4022/rtp/239.3.1.135:8028
湖南卫视,http://61.173.95.181:4022/udp/239.45.3.228:5140#http://101.83.74.79:8686/udp/239.45.3.228:5140#http://114.254.209.157:8888/rtp/239.3.1.132:8012#http://123.116.202.123:4022/rtp/239.3.1.132:8012#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226430/index.m3u8#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
北京卫视,http://61.173.95.181:4022/udp/239.45.3.229:5140#http://101.83.74.79:8686/udp/239.45.3.229:5140#http://114.254.209.157:8888/rtp/239.3.1.241:8000#http://123.116.202.123:4022/rtp/239.3.1.241:8000#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
广东卫视,http://61.173.95.181:4022/udp/239.45.3.230:5140#http://101.83.74.79:8686/udp/239.45.3.230:5140#http://114.254.209.157:8888/rtp/239.3.1.142:8048#http://123.116.202.123:4022/rtp/239.3.1.142:8048#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226248/index.m3u8
